FBI;COMF;RSES;RRS;CSS;MSFU_Passive;MSFU_Private;MSFU_Public;Stress;Anxiety;Depression
23;38;10;47;57;15;9;6;11;7;8
24;42;17;48;60;12;14;9;8;7;12
20;45;21;44;52;10;4;6;3;1;1
23;35;28;25;41;13;13;5;2;1;1
28;43;20;50;52;17;13;9;12;1;13
20;27;23;51;38;6;14;6;14;4;4
25;44;12;49;64;11;6;12;7;1;2
26;49;27;39;48;23;12;18;3;1;2
16;33;18;45;62;24;10;6;4;1;5
12;44;17;48;61;5;2;4;3;5;6
11;15;29;24;33;10;9;13;1;0;2
11;33;24;52;60;6;2;3;5;2;2
21;36;16;57;41;17;11;12;12;12;12
24;38;29;24;52;18;12;5;1;1;0
8;23;3;48;53;5;4;3;5;0;9
20;38;18;35;55;17;14;4;2;2;4
14;27;17;29;41;15;7;11;0;0;0
25;38;9;66;65;10;10;13;11;15;8
22;38;25;45;48;22;10;11;3;0;2
17;33;17;44;58;11;3;7;5;4;10
26;40;24;36;63;21;9;15;6;1;5
22;45;9;88;59;24;12;16;17;12;20
23;43;18;51;49;9;5;4;7;5;7
26;35;30;23;60;8;7;6;0;0;0
26;37;18;48;45;17;12;6;3;0;3
18;17;19;33;38;5;12;6;2;0;4
9;35;13;55;52;8;12;3;10;8;12
18;23;16;43;52;12;9;8;7;2;10
8;29;26;47;44;14;2;3;5;1;0
11;35;20;56;44;10;6;5;12;10;9
23;48;27;34;46;17;14;6;3;0;1
18;41;18;54;55;16;4;9;7;5;4
15;44;14;51;61;16;10;12;3;2;1
21;14;0;30;46;8;7;6;2;2;0
16;20;17;44;47;17;10;10;11;6;6
30;47;17;42;46;24;12;11;0;0;0
23;41;20;36;57;12;10;6;2;1;0
24;43;20;38;52;23;14;6;4;3;3
30;43;18;72;56;19;14;15;16;18;16
22;38;25;25;54;12;14;18;0;2;0
9;12;11;61;40;5;6;3;11;9;17
30;40;25;42;45;20;14;18;2;1;2
16;18;29;29;29;9;6;6;2;0;0
19;43;13;66;51;22;12;4;14;8;16
14;30;20;42;50;10;12;6;11;6;5
29;43;20;31;49;21;10;10;3;0;1
23;35;13;56;58;10;14;6;5;4;6
27;41;21;49;51;18;14;17;11;7;9
29;54;18;58;74;20;12;10;6;9;12
23;50;22;49;50;19;11;10;3;0;2
7;42;12;60;65;8;5;9;15;6;10
19;34;11;47;63;15;6;8;9;1;10
18;23;10;63;63;14;4;11;9;8;13
14;26;17;46;42;10;10;6;6;4;2
14;31;20;46;49;9;6;6;4;1;8
18;43;9;68;64;23;10;6;16;8;14
24;26;30;23;44;6;10;6;0;0;0
20;36;23;48;59;22;10;6;11;2;5
19;40;11;47;55;13;4;5;6;1;8
14;40;21;39;48;16;2;6;4;1;1
20;38;24;53;49;12;8;6;9;3;2
24;46;8;56;68;17;14;9;8;5;5
16;40;11;70;52;14;14;9;12;16;11
18;37;22;31;47;14;10;7;5;1;1
23;31;29;38;49;12;14;6;8;1;0
14;27;13;60;52;15;10;13;11;10;9
27;45;19;62;50;18;6;9;7;4;7
14;23;25;33;38;8;8;4;0;0;1
9;24;19;44;28;7;6;3;8;6;2
11;15;27;22;37;10;9;3;1;0;0
20;54;23;39;28;15;14;9;1;5;4
30;50;3;60;60;28;11;19;4;3;1
7;15;18;45;46;6;8;6;4;5;4
23;36;5;57;57;14;5;12;8;2;11
16;40;21;41;56;13;3;6;1;2;1
26;40;15;49;47;17;11;16;12;13;11
22;41;24;40;47;11;14;13;2;0;6
22;38;16;63;56;14;12;15;9;1;17
20;40;21;49;44;12;6;7;7;9;11
23;44;21;25;51;12;2;6;0;1;0
7;43;22;44;62;8;10;6;9;4;1
22;41;6;67;67;23;14;12;16;16;16
14;28;19;57;45;13;7;3;10;7;12
7;26;16;51;60;12;4;3;17;8;12
12;26;5;67;43;13;2;12;15;14;14
17;36;19;46;46;21;2;12;9;5;7
14;26;18;36;36;6;6;3;4;0;7
24;46;6;45;69;22;11;15;9;7;10
27;43;16;59;66;8;8;8;9;0;4
22;29;16;54;45;9;10;5;8;2;7
11;34;6;47;49;8;3;6;7;2;14
30;51;17;57;64;17;10;14;6;4;6
25;38;13;64;54;18;14;10;17;11;13
19;44;11;55;63;16;10;5;11;2;6
21;40;18;46;51;19;12;7;7;7;5
10;16;27;31;54;5;6;3;2;0;0
28;40;22;52;55;24;12;8;9;7;6
20;44;5;87;71;10;11;10;20;12;21
19;45;5;71;58;14;14;3;14;10;20
23;14;12;60;50;17;14;3;13;13;14
7;14;29;38;26;6;4;3;0;0;0
20;38;13;51;55;4;12;3;3;2;4
23;40;28;25;46;16;14;9;0;1;0
23;39;5;68;61;10;14;11;5;0;12
12;34;30;45;37;12;6;3;0;0;0
21;15;23;44;56;12;12;8;6;4;4
21;42;18;38;56;13;6;9;6;2;5
21;39;23;45;56;15;14;5;5;2;1
24;19;30;26;59;14;13;9;1;0;1
24;42;17;61;45;22;10;20;11;10;10
10;11;24;29;47;4;2;3;2;0;0
21;40;18;57;61;9;4;5;6;1;12
23;46;7;59;42;15;10;8;8;6;16
17;38;30;46;32;18;14;8;6;6;6
23;42;26;32;54;18;14;5;4;2;1
12;40;12;68;45;12;3;4;12;9;16
24;34;16;37;45;20;9;9;1;0;7
11;27;19;41;40;16;6;5;3;0;1
20;39;19;57;39;16;10;6;9;8;7
21;34;11;51;48;11;6;6;4;2;10
20;27;22;22;41;18;10;6;0;0;0
12;31;18;47;52;12;7;7;6;5;7
11;32;16;53;41;4;3;3;13;10;7
29;52;26;31;38;16;10;16;0;0;0
12;12;30;46;30;12;9;3;1;0;1
28;36;21;66;56;19;10;19;13;13;11
27;33;3;66;53;15;14;7;9;3;10
24;42;14;43;62;13;4;6;5;8;10
12;38;10;43;59;12;8;6;1;1;12
23;54;13;46;71;17;4;6;12;4;7
11;28;17;58;48;24;11;14;10;9;10
16;42;22;43;59;13;10;5;7;4;5
17;24;4;79;57;10;9;6;18;14;14
20;36;18;32;52;15;14;11;0;0;0
14;33;3;61;51;18;2;7;8;5;14
20;32;18;47;43;13;9;12;6;7;10
18;42;20;33;59;10;4;5;6;0;2
28;42;10;65;62;22;12;7;14;7;14
11;33;21;48;48;18;6;10;5;4;5
30;51;11;77;69;24;14;12;16;14;19
18;35;17;44;54;12;10;7;1;2;8
27;39;15;43;57;18;12;9;7;7;7
12;31;19;44;51;10;12;6;7;5;7
15;24;9;67;50;6;5;14;16;20;18
20;42;28;36;57;13;6;11;6;2;1
23;38;21;38;46;21;11;16;4;3;3
15;33;11;56;47;11;6;3;6;3;14
21;39;19;22;47;14;11;7;0;0;0
16;19;12;63;49;7;2;3;13;13;13
24;46;13;60;68;28;14;17;19;12;18
25;35;21;28;47;15;14;16;0;0;0
24;40;15;75;61;14;10;16;17;16;14
14;37;10;52;58;12;4;4;9;3;10
10;22;14;59;38;6;8;6;0;0;5
22;36;16;40;55;8;12;9;5;1;1
17;22;24;35;38;16;10;12;4;0;1
23;34;17;37;50;15;9;14;8;6;5
22;35;18;65;42;17;9;14;11;12;13
17;33;9;63;49;15;10;3;10;10;13
26;38;17;61;50;16;8;8;7;1;6
17;29;24;55;48;12;10;6;5;1;3
6;30;30;22;36;8;8;5;0;0;0
24;34;15;40;51;16;10;13;9;5;8
21;36;15;49;63;18;14;4;10;10;12
22;18;30;44;38;25;12;13;4;0;1
7;34;15;29;47;7;10;3;2;0;1
16;18;19;37;40;8;14;5;1;6;1
17;38;22;50;50;14;4;6;10;1;3
27;44;20;37;62;17;12;16;5;2;3
20;37;23;26;47;9;2;4;0;0;0
10;51;4;70;64;20;4;9;17;5;18
30;49;13;46;62;26;14;21;8;8;8
28;45;18;53;68;19;14;17;10;8;6
10;24;22;39;40;15;10;4;6;3;3
28;40;16;44;59;17;4;10;8;1;2
23;41;24;36;59;20;8;9;8;0;5
19;28;14;64;36;13;8;13;13;13;15
29;40;0;82;39;13;10;15;18;13;21
29;41;11;54;52;10;8;12;5;1;8
29;40;21;32;50;15;14;14;8;7;1
30;41;19;35;46;27;13;16;4;2;0
7;28;26;30;42;9;6;6;3;0;0
27;42;30;31;51;26;12;18;2;2;0
21;49;27;57;42;18;6;6;6;3;1
27;44;19;56;60;20;8;12;10;5;8
25;44;22;31;55;21;13;13;2;2;1
20;33;16;55;45;9;4;6;0;0;0
22;34;23;39;48;26;12;15;6;1;3
27;43;25;38;58;21;11;16;4;6;3
22;44;21;48;60;17;10;10;3;0;6
10;31;13;72;53;9;5;4;9;10;16
16;45;21;46;51;19;12;3;6;5;7
21;40;20;29;50;16;10;9;4;2;0
19;40;20;63;40;25;13;19;11;14;14
21;31;17;48;45;16;9;12;7;6;10
15;27;14;58;52;11;9;7;7;0;4
18;32;17;45;58;10;6;8;4;3;5
20;39;18;50;50;11;8;9;11;8;11
12;38;19;54;58;16;4;7;7;5;11
23;34;24;29;55;18;10;14;3;0;1
19;38;20;23;41;17;6;7;0;1;0
24;38;22;50;57;22;3;3;5;2;1
15;45;13;39;64;6;10;4;7;1;5
18;39;17;39;63;8;6;4;3;4;5
16;45;21;51;59;13;13;5;17;6;7
16;30;17;60;40;12;10;3;7;3;5
14;25;16;38;46;8;4;3;6;8;7
