FBI1;FBI2;FBI3;FBI4;FBI5;FBI6;FBI7;FBI8;MSFU1;MSFU2;MSFU3;MSFU4;MSFU5;MSFU6;MSFU7;MSFU8;MSFU9;MSFU10;COMF1;COMF2;COMF3;COMF4;COMF5;COMF6;COMF7;COMF8;COMF9;COMF10;COMF11;RSES1;RSES2;RSES3;RSES4;RSES5;RSES6;RSES7;RSES8;RSES9;RSES10;CSS1;CSS2;CSS3;CSS4;CSS5;CSS6;CSS7;CSS8;CSS9;CSS10;CSS11;CSS12;CSS13;CSS14;CSS15;RRS1;RRS2;RRS3;RRS4;RRS5;RRS6;RRS7;RRS8;RRS9;RRS10;RRS11;RRS12;RRS13;RRS14;RRS15;RRS16;RRS17;RRS18;RRS19;RRS20;RRS21;RRS22;DASS1;DASS2;DASS3;DASS4;DASS5;DASS6;DASS7;DASS8;DASS9;DASS10;DASS11;DASS12;DASS13;DASS14;DASS15;DASS16;DASS17;DASS18;DASS19;DASS20;DASS21;FBI;MSFUP;MSFUaprivate;MSFUapublic;COMF;CSS;RSES;RRS;DASS_stress;DASS_anxiety;DASS_depression
4;3;5;5;2;4;107;120;7;4;4;5;2;7;2;2;2;2;5;2;4;2;4;4;3;4;2;4;4;1;1;2;1;1;1;1;0;1;1;3;2;4;4;5;4;5;5;1;4;4;4;4;4;4;2;1;3;2;2;3;2;1;2;4;2;1;3;1;3;3;2;2;2;2;1;3;2;0;1;1;1;2;0;2;2;3;2;2;1;0;1;1;1;1;2;1;0;23;15;9;6;38;57;10;47;11;7;8
5;2;5;4;4;4;20;60;6;3;2;5;2;7;7;4;3;2;4;4;4;2;4;4;4;3;5;4;4;2;1;2;2;2;1;2;1;2;2;5;4;5;4;4;4;4;5;2;4;3;4;4;4;4;2;2;2;3;3;4;2;1;2;2;1;1;3;3;3;2;2;2;2;2;2;2;1;2;2;1;3;2;0;1;1;2;1;2;1;1;1;1;1;0;1;1;2;24;12;14;9;42;60;17;48;8;7;12
4;3;4;2;3;4;10;3;7;3;2;3;2;2;2;2;2;2;4;4;4;3;5;4;4;5;4;4;4;2;2;2;3;2;2;2;2;2;2;2;3;4;4;5;2;3;4;4;4;4;4;3;2;4;2;2;3;2;2;2;2;1;2;1;2;1;3;1;3;3;2;3;3;1;2;1;1;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;20;10;4;6;45;52;21;44;3;1;1
4;3;4;4;4;4;417;60;7;4;4;3;2;7;6;1;2;2;3;4;2;2;3;4;4;3;4;4;2;3;3;2;2;3;3;3;3;3;3;5;2;4;2;3;4;2;4;2;1;2;4;2;2;2;1;1;1;1;1;1;2;1;1;2;1;1;2;1;1;1;1;1;1;1;1;1;0;1;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;23;13;13;5;35;41;28;25;2;1;1
5;4;5;5;4;5;400;90;7;5;4;4;4;6;7;3;3;3;4;4;5;4;3;4;3;4;4;4;4;2;2;2;2;2;2;2;2;2;2;4;4;4;2;3;5;3;5;3;3;4;2;2;4;4;2;3;3;2;2;3;3;2;3;2;1;1;2;2;3;2;3;2;3;3;1;2;3;1;2;0;2;2;0;0;0;3;3;1;3;1;0;2;0;2;0;0;1;28;17;13;9;43;52;20;50;12;1;13
4;3;4;2;3;4;359;10;6;2;1;2;1;7;7;2;2;2;4;2;2;2;3;2;2;3;3;2;2;3;2;2;2;2;1;3;3;2;3;4;1;4;1;4;2;1;4;4;1;4;4;1;1;2;2;3;4;3;3;2;1;2;1;3;1;2;4;2;3;3;1;2;3;1;1;4;2;0;1;0;3;2;1;2;2;0;2;3;0;1;0;0;0;2;1;0;0;20;6;14;6;27;38;23;51;14;4;4
4;3;5;5;3;5;220;30;6;3;3;2;3;3;3;4;4;4;4;4;3;3;5;4;4;4;5;4;4;1;1;2;2;1;1;2;0;1;1;5;4;5;3;5;5;3;5;5;4;3;5;4;5;3;3;3;3;3;1;2;2;1;3;2;1;1;2;2;3;4;2;3;2;3;1;2;1;0;0;0;1;0;0;1;1;0;0;2;0;2;0;0;1;1;0;0;0;25;11;6;12;44;64;12;49;7;1;2
4;5;4;4;4;5;186;60;6;7;6;5;5;6;6;7;6;5;5;4;4;4;5;5;4;5;4;5;4;2;3;2;3;3;3;2;3;3;3;5;2;5;2;3;3;3;4;3;3;2;5;3;2;3;1;2;2;2;1;3;1;2;3;2;2;1;2;2;1;2;2;2;2;2;1;1;1;0;0;0;1;0;0;1;1;0;0;1;1;0;0;0;0;0;0;0;0;26;23;12;18;49;48;27;39;3;1;2
4;2;5;2;2;1;100;60;7;5;6;7;6;5;5;2;2;2;4;3;4;2;4;2;3;5;2;3;1;2;2;2;3;2;1;2;0;2;2;5;4;5;4;5;3;4;4;4;4;4;5;4;3;4;1;1;2;3;1;2;3;1;1;3;3;1;4;1;1;4;2;2;2;3;3;1;0;0;0;1;2;1;0;1;0;0;0;1;0;1;0;1;1;0;0;0;1;16;24;10;6;33;62;18;45;4;1;5
2;2;2;2;2;2;100;1;3;2;1;1;1;1;1;2;1;1;5;4;4;4;4;5;4;4;1;5;4;2;1;2;2;2;1;2;1;2;2;4;4;4;4;4;5;4;4;4;4;4;4;4;4;4;2;2;3;2;2;2;3;2;3;3;2;2;2;2;2;2;2;2;2;2;2;2;0;2;1;1;1;1;0;0;1;1;1;0;1;0;0;0;2;1;1;0;0;12;5;2;4;44;61;17;48;3;5;6
