FBI1;FBI2;FBI3;FBI4;FBI5;FBI6;FBI7;FBI8;MSFU1;MSFU2;MSFU3;MSFU4;MSFU5;MSFU6;MSFU7;MSFU8;MSFU9;MSFU10;COMF1;COMF2;COMF3;COMF4;COMF5;COMF6;COMF7;COMF8;COMF9;COMF10;COMF11;CI;RSES1;RSES2;RSES3;RSES4;RSES5;RSES6;RSES7;RSES8;RSES9;RSES10;CSS1;CSS2;CSS3;CSS4;CSS5;CSS6;CSS7;CSS8;CSS9;CSS10;CSS11;CSS12;CSS13;CSS14;CSS15;RRS1;RRS2;RRS3;RRS4;RRS5;RRS6;RRS7;RRS8;RRS9;RRS10;RRS11;RRS12;RRS13;RRS14;RRS15;RRS16;RRS17;RRS18;RRS19;RRS20;RRS21;RRS22;CI2;DASS1;DASS2;DASS3;DASS4;DASS5;DASS6;DASS7;DASS8;DASS9;DASS10;DASS11;DASS12;DASS13;DASS14;DASS15;DASS16;DASS17;DASS18;DASS19;DASS20;DASS21;FBI;MSFUP;MSFUaprivate;MSFUapublic;COMF;CSS;RSES;RRS;DASS_stress;DASS_anxiety;DASS_depression
4;3;4;4;3;4;500;30;6;4;2;4;2;6;5;2;2;2;1;3;3;3;4;2;3;4;4;2;2;1;3;2;3;3;2;1;3;1;2;3;4;3;4;2;4;4;2;4;4;2;3;4;2;3;3;2;3;3;3;3;2;1;1;2;2;2;1;3;2;2;1;1;2;1;2;2;1;4;2;2;0;1;2;1;2;2;2;0;1;2;1;1;1;0;0;1;1;1;0;22;12;11;6;31;48;23;42;10;10;3
2;2;2;2;2;2;150;5;5;4;3;3;3;2;2;1;1;1;4;2;4;4;2;4;5;2;2;5;4;1;1;1;2;3;1;1;2;1;1;1;5;4;4;5;5;2;4;4;5;2;4;4;4;2;5;3;3;2;2;2;4;4;2;4;4;3;1;3;3;4;4;3;4;2;3;3;2;4;1;0;2;1;2;1;0;0;0;1;0;1;2;1;0;2;2;1;0;1;0;12;13;4;3;38;59;14;65;5;2;11
5;3;5;4;2;4;300;200;7;5;4;5;2;7;5;1;1;1;4;4;5;3;4;4;4;4;4;4;4;1;3;2;2;2;2;2;2;2;3;3;4;2;5;3;4;2;3;4;4;2;3;4;4;3;4;1;2;2;2;3;3;1;3;4;2;4;2;2;3;2;3;1;1;1;3;1;1;4;0;0;1;0;0;1;0;0;1;0;1;2;1;0;1;1;1;0;1;1;1;23;16;12;3;44;51;23;47;4;4;5
3;1;3;2;1;4;3;10;1;3;3;3;3;2;2;1;1;1;5;5;5;3;5;5;5;5;5;5;5;1;2;0;2;2;1;1;2;0;2;2;5;5;5;5;5;1;2;3;5;5;4;5;4;2;5;2;3;1;2;3;4;3;3;4;4;3;1;4;4;4;4;4;4;4;4;3;4;4;1;0;0;0;3;3;0;2;3;0;2;1;1;2;3;0;2;1;3;2;2;14;12;4;3;53;61;14;72;12;11;8
5;3;5;3;4;5;500;400;7;5;2;3;3;7;7;2;3;4;4;5;2;2;3;3;3;4;5;3;3;1;2;2;2;2;2;1;1;0;2;1;4;3;3;4;5;3;5;4;3;4;3;4;3;4;3;1;2;2;2;3;3;4;1;2;4;3;1;3;2;3;3;1;2;2;3;2;2;4;1;0;1;0;1;1;0;2;1;0;1;2;1;1;0;1;2;1;0;1;1;25;13;14;9;37;55;15;51;9;2;7
4;2;4;1;2;1;200;120;5;3;4;2;2;6;2;1;1;1;2;1;1;2;2;2;2;2;1;1;1;1;2;1;3;2;1;1;2;1;2;1;5;2;4;1;3;2;2;4;1;2;2;5;2;2;4;3;2;3;3;3;3;3;3;2;1;2;1;1;1;2;1;2;2;2;1;1;1;4;0;0;1;0;0;0;1;0;0;2;0;0;1;2;0;1;1;0;0;0;1;14;11;8;3;17;41;16;43;2;1;7
5;4;4;4;4;4;250;6;6;6;6;6;6;7;7;5;5;4;3;3;4;3;5;2;4;4;4;4;4;1;2;2;2;2;2;1;1;1;2;2;1;5;1;3;3;3;3;5;2;3;4;5;4;4;5;2;2;2;1;1;2;2;2;3;2;1;1;2;3;1;3;3;2;2;2;1;1;4;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;25;24;14;14;40;51;17;41;3;0;0
5;3;5;4;3;2;374;200;7;5;4;5;4;7;7;1;2;2;3;2;2;2;2;5;2;1;3;5;4;1;1;0;3;1;1;0;2;1;0;1;4;4;4;2;2;4;2;3;4;2;3;4;3;3;4;2;4;4;3;2;4;3;2;2;1;3;2;1;3;3;3;4;2;4;3;4;2;4;2;1;2;1;3;1;2;0;0;1;1;2;2;1;0;3;0;1;1;1;2;22;18;14;5;31;48;10;61;8;6;13
5;3;5;5;4;4;150;45;7;4;2;6;3;7;7;5;4;3;5;4;4;4;5;5;4;5;5;5;4;1;2;0;2;2;2;0;2;2;3;2;4;5;5;5;5;4;5;5;5;2;4;5;5;5;4;2;2;2;2;2;3;2;1;3;2;2;1;3;2;2;3;2;3;2;3;1;1;4;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;26;15;14;12;50;68;17;46;1;0;2
5;4;5;4;3;4;300;15;6;3;3;5;4;5;5;3;4;1;4;3;3;4;4;4;2;3;5;3;4;1;3;2;3;2;3;2;3;2;3;2;4;4;4;3;5;2;1;4;4;3;4;4;4;2;2;2;2;2;1;1;2;2;1;1;1;2;1;2;2;1;1;1;1;1;1;2;1;4;0;0;0;0;1;0;0;0;0;1;1;1;0;0;0;1;0;1;0;0;0;25;15;10;8;39;50;25;31;3;0;3
3;2;2;1;2;2;180;10;6;2;2;2;2;2;2;1;1;1;3;4;3;2;2;3;2;2;4;2;2;1;0;1;1;2;2;1;2;0;1;1;5;5;4;4;4;3;4;4;2;4;5;5;5;3;5;4;4;3;4;3;3;4;4;4;4;2;1;3;3;3;4;4;4;3;4;2;3;4;1;0;2;0;2;1;0;0;0;1;0;2;1;1;0;2;3;1;0;3;3;12;8;4;3;29;62;11;73;6;3;14
5;3;5;5;5;3;360;180;7;6;6;6;6;7;7;1;2;3;4;4;3;3;4;4;4;4;4;4;4;1;1;1;2;2;2;1;2;1;2;1;4;4;4;4;4;3;4;5;5;4;5;4;4;3;5;2;3;3;3;3;3;3;4;3;3;3;3;3;3;3;3;3;3;3;3;3;3;4;2;0;1;0;1;2;2;2;2;1;2;2;2;1;1;1;1;2;1;2;1;26;24;14;6;42;62;15;66;13;8;8
4;3;4;2;4;2;1;30;6;6;4;1;1;2;2;1;1;1;4;4;4;2;2;3;2;2;1;2;4;1;2;2;2;2;2;3;2;2;2;2;4;4;4;4;4;4;4;4;4;5;4;4;4;4;3;3;1;3;3;3;3;3;4;2;2;1;1;3;1;1;1;3;3;3;3;1;2;4;0;1;1;0;1;2;0;0;0;2;0;0;0;0;0;1;2;0;0;1;2;19;12;4;3;30;60;21;50;2;2;9
4;2;2;3;2;3;253;10;5;2;3;3;3;7;7;2;2;2;2;3;2;4;3;4;3;4;3;3;5;1;2;3;2;3;2;1;2;2;2;2;4;3;3;4;4;4;3;4;4;3;2;3;4;3;2;3;2;2;2;2;2;2;1;1;1;3;2;2;2;2;1;2;2;1;2;2;1;4;1;2;1;1;1;0;1;1;0;1;1;2;2;1;1;1;1;3;0;1;0;16;11;14;6;36;50;21;40;9;6;7
4;3;3;2;4;5;700;15;5;4;3;3;3;5;2;1;2;4;4;2;2;2;1;2;3;2;2;2;1;1;2;2;3;2;2;2;3;3;3;2;3;2;1;2;5;3;1;5;4;1;4;4;1;2;2;4;3;3;4;1;4;1;2;3;1;4;1;2;4;1;3;4;3;4;1;4;2;4;0;3;0;0;3;1;0;2;0;0;0;2;3;2;0;0;0;0;0;2;0;21;13;7;7;23;40;24;59;7;5;6
4;2;4;3;2;2;300;30;7;4;3;5;4;5;5;1;1;1;5;3;4;4;4;4;3;3;2;5;5;1;2;2;2;2;2;1;2;2;2;2;5;3;5;2;5;3;2;4;4;4;4;5;3;2;4;4;4;4;4;1;4;2;4;4;4;2;1;2;3;1;3;2;2;4;2;2;3;4;2;0;2;1;3;1;0;0;0;2;2;2;2;2;0;2;1;2;0;0;1;17;16;10;3;42;55;19;62;11;1;13
5;5;5;5;5;4;1370;7;6;6;6;6;6;7;7;6;5;5;4;4;4;4;3;3;4;4;4;3;3;1;1;2;1;0;2;2;1;1;2;1;5;2;4;4;4;5;4;4;2;3;2;4;2;5;2;2;3;3;3;3;3;3;2;3;3;4;3;3;3;3;2;3;3;4;3;3;3;4;2;2;2;1;2;2;2;1;1;2;2;2;1;1;2;2;3;2;2;2;2;29;24;14;16;40;52;13;65;12;12;14
4;2;4;4;2;4;300;60;7;2;3;2;2;7;7;2;2;2;4;2;4;4;4;4;4;4;4;4;4;1;0;0;1;1;1;1;1;1;1;1;4;4;4;4;4;4;4;4;4;4;4;4;4;4;5;4;4;2;2;2;4;4;4;2;3;2;1;2;2;3;3;4;2;2;4;2;3;4;2;2;1;0;1;2;1;1;3;3;3;3;2;3;3;3;3;3;1;2;3;20;9;14;6;42;61;8;61;17;12;16
4;3;3;2;2;1;60;5;4;4;5;4;4;4;4;2;2;2;1;4;3;2;1;1;1;4;4;3;3;1;2;1;1;1;1;1;1;2;1;2;1;1;2;1;4;4;1;4;1;3;3;3;4;4;3;1;3;2;2;1;3;1;2;1;1;1;1;4;1;1;1;1;2;3;1;1;1;4;0;0;0;0;3;0;0;0;0;3;1;0;0;0;0;2;1;0;0;0;3;15;17;8;6;27;39;13;35;1;0;12
3;2;4;2;2;1;750;3;6;4;4;5;4;4;7;3;3;5;3;1;2;3;3;3;3;3;4;3;2;1;2;2;2;2;2;1;1;1;2;1;4;4;3;4;5;4;4;4;4;3;4;4;4;4;3;3;2;2;2;2;2;4;2;2;2;2;1;2;2;1;1;2;2;1;3;2;2;4;2;1;0;0;0;1;1;1;2;1;0;1;0;1;0;1;1;1;1;0;1;14;17;11;11;30;58;16;44;7;5;4
5;3;4;2;1;1;200;350;4;4;3;2;2;2;3;2;1;2;4;4;2;1;5;3;4;4;3;4;3;1;2;3;3;3;3;2;3;2;3;2;4;3;1;2;4;3;1;4;3;2;3;4;2;2;3;1;3;2;2;1;2;2;1;3;4;3;1;3;4;2;4;1;3;2;2;3;2;4;1;0;0;0;1;1;3;3;3;1;2;2;1;1;0;1;0;0;2;0;0;16;11;5;5;37;41;26;51;10;8;4
4;4;4;4;3;5;115;40;7;4;3;3;3;7;7;3;3;2;4;3;4;1;4;4;5;4;4;4;4;1;2;1;2;2;2;1;2;0;1;2;4;4;4;4;5;2;4;3;5;4;4;4;4;2;4;2;2;3;3;1;2;3;2;2;2;1;1;2;2;3;2;2;2;2;2;1;1;4;2;1;1;1;1;0;0;0;1;1;0;2;0;0;0;0;0;0;0;1;0;24;13;14;8;41;57;15;43;4;4;3
4;3;4;2;3;3;447;200;6;3;4;4;3;7;7;2;2;2;2;2;2;2;3;4;2;3;4;3;2;1;1;1;2;2;2;1;2;2;1;1;4;4;4;2;3;3;2;4;3;2;4;4;4;3;4;2;2;3;3;3;3;3;3;3;3;3;1;3;3;2;3;2;3;3;3;1;1;4;1;2;1;2;2;2;0;2;1;1;2;2;1;1;2;1;1;1;2;1;3;19;14;14;6;29;50;15;56;11;10;10
